1.000000000000000000e+00 1.000000079006838405e+00 9.798815871965654845e-01 9.799765370752664406e-01
2.000000000000000000e+00 1.000000077884685812e+00 9.609168389986765257e-01 9.602846149122653552e-01
3.000000000000000000e+00 1.000000077619870087e+00 9.419497716788624020e-01 9.424599291425136416e-01
4.000000000000000000e+00 1.000000077837757795e+00 9.241716373020526509e-01 9.239495070063787896e-01
5.000000000000000000e+00 1.000000077960752076e+00 9.044658917419238220e-01 9.046911289119315969e-01
6.000000000000000000e+00 1.000000078111189294e+00 8.865795687648710954e-01 8.856005024361045530e-01
7.000000000000000000e+00 1.000000078297647921e+00 8.693129686793550359e-01 8.673698032541146130e-01
8.000000000000000000e+00 1.000000078513083368e+00 8.497363426148696330e-01 8.493709497044168444e-01
9.000000000000000000e+00 1.000000078758804811e+00 8.310937563574655185e-01 8.333759238475482167e-01
1.000000000000000000e+01 1.000000079067864034e+00 8.153463094270888556e-01 8.172332254649575800e-01
1.100000000000000000e+01 1.000000079403797093e+00 8.006362953942528504e-01 8.017827490571749482e-01
1.200000000000000000e+01 1.000000079793589292e+00 7.849525137103454675e-01 7.829400569787974273e-01
1.300000000000000000e+01 1.000000080248638179e+00 7.667073642584548709e-01 7.682169099479111418e-01
1.400000000000000000e+01 1.000000080743925102e+00 7.541474430071948287e-01 7.537087925912643316e-01
1.500000000000000000e+01 1.000000081302138355e+00 7.406106010949602414e-01 7.362322766818508724e-01
